,budget_(in_US-Dollars),revenue_(in_US-Dollars),profit_(in_US_Dollars),original_title,cast,director,tagline,runtime,genres,release_date,release_year
1462,27000000,29000000,2000000,Case 39,RenÃ©e Zellweger|Jodelle Ferland|Ian McShane|Kerry O'Malley|Callum Keith Rennie,Christian Alvart,Some cases should  never be opened.,109,Horror|Mystery|Thriller,2009-08-13,2009
1463,50000000,36348784,-13651216,The Boat That Rocked,Tom Sturridge|Philip Seymour Hoffman|Rhys Ifans|Bill Nighy|Emma Thompson,Richard Curtis,On air. Off shore. Out of control.,116,Drama|Comedy,2009-04-01,2009
1465,20000000,51416464,31416464,Daybreakers,Ethan Hawke|Sam Neill|Willem Dafoe|Claudia Karvan|Isabel Lucas,Michael Spierig|Peter Spierig,"In 2019, The Most Precious Natural Resource... Is Us.",98,Fantasy|Horror|Action|Thriller|Science Fiction,2009-01-06,2009
1466,39000000,101229792,62229792,The Time Traveler's Wife,Eric Bana|Rachel McAdams|Michelle Nolden|Arliss Howard|Ron Livingston,Robert Schwentke,,107,Drama|Romance|Fantasy,2009-08-14,2009
1468,11000000,791867,-10208133,Antichrist,Willem Dafoe|Charlotte Gainsbourg|Storm Acheche SahlstrÃ¸m,Lars von Trier,"When nature turns evil, true terror awaits.",108,Drama|Horror|Thriller,2009-05-18,2009
1470,18000000,36133014,18133014,Love Happens,Aaron Eckhart|Jennifer Aniston|Judy Greer|Martin Sheen|Deirdre Blades,Brandon Camp,Sometimes when you least expect it...,109,Drama|Romance,2009-09-18,2009
1471,38000000,45465299,7465299,Push,Dakota Fanning|Camilla Belle|Chris Evans|Djimon Hounsou|Maggie Siff,Paul McGuigan,One push can change everything.,111,Action,2009-02-06,2009
1472,17000000,29536299,12536299,Brooklyn's Finest,Richard Gere|Don Cheadle|Ethan Hawke|Wesley Snipes|Vincent D'Onofrio,Antoine Fuqua,This is War. This is Brooklyn.,133,Crime|Drama|Thriller,2009-01-16,2009
1473,11000000,68233629,57233629,Saw VI,Tobin Bell|Costas Mandylor|Betsy Russell|Mark Rolston|Peter Outerbridge,Kevin Greutert,The Game Has Come Full Circle,90,Horror|Mystery,2009-10-22,2009
1474,35000000,27409889,-7590111,The Young Victoria,Emily Blunt|Jim Broadbent|Mark Strong|Paul Bettany|Miranda Richardson,Jean-Marc VallÃ©e,Love rules all,105,Drama|History|Romance,2009-03-04,2009
1475,7000000,31430334,24430334,A Serious Man,Michael Stuhlbarg|Richard Kind|Fred Melamed|Sari Lennick|Aaron Wolff,Ethan Coen|Joel Coen,...seriously!,105,Comedy|Drama,2009-10-02,2009
1476,14000000,22852638,8852638,A Perfect Getaway,Milla Jovovich|Timothy Olyphant|Steve Zahn|Chris Hemsworth|Anthony Ruivivar,David Twohy,Welcome to paradise. Enter at your own risk.,98,Thriller|Mystery|Adventure,2009-06-08,2009
1478,40000000,12206028,-27793972,Whiteout,Kate Beckinsale|Gabriel Macht|Tom Skerritt|Columbus Short|Shawn Doyle,Dominic Sena,See Your Last Breath,101,Action|Crime|Mystery|Thriller,2009-09-09,2009
1481,13000000,10652035,-2347965,I Love You Phillip Morris,Jim Carrey|Ewan McGregor|Leslie Mann|Rodrigo Santoro|Brennan Brown,Glenn Ficarra|John Requa,The Conman who wouldn't go straight.,98,Comedy|Drama|Romance,2009-01-18,2009
1482,13000000,754249,-12245751,Enter the Void,Nathaniel Brown|Paz de la Huerta|Cyril Roy|Masato Tanno|Jesse Kuhn,Gaspar NoÃ©,,161,Fantasy|Drama,2009-05-05,2009
1484,20000000,17280326,-2719674,12 Rounds,John Cena|Ashley Scott|Brian J. White|Aidan Gillen|Steve Harris,Renny Harlin,Survive all 12,108,Action|Adventure|Drama|Thriller,2009-03-19,2009
1486,9000000,70000000,61000000,3 Idiots,Aamir Khan|Kareena Kapoor|Madhavan|Sharman Joshi|Boman Irani,Rajkumar Hirani,Don't BE A STUPID BE AN I.D.I.O.T.,170,Drama|Comedy|Romance,2009-12-23,2009
1487,150000000,836297228,686297228,Transformers: Revenge of the Fallen,Shia LaBeouf|Megan Fox|Josh Duhamel|Rainn Wilson|Tyrese Gibson,Michael Bay,Revenge is coming,150,Science Fiction|Action|Adventure,2009-06-19,2009
1488,24000000,68729358,44729358,The Men Who Stare at Goats,George Clooney|Ewan McGregor|Jeff Bridges|Kevin Spacey|Robert Patrick,Grant Heslov,No goats. No glory.,93,Comedy|War,2009-10-17,2009
1490,40000000,60462347,20462347,Ninja Assassin,Rain|Naomie Harris|Sung Kang|Randall Duk Kim|Rick Yune,James McTeigue,"Fear not the weapon, but the hand that wields it.",99,Action|Crime|Thriller,2009-09-29,2009
1491,20000000,5210988,-14789012,Bandslam,Vanessa Hudgens|Aly Michalka|Gaelan Connell|Lisa Kudrow|Scott Porter,Todd Graff,Band Together,111,Comedy|Drama|Family|Music,2009-08-06,2009
1492,100000000,100086793,86793,Where the Wild Things Are,Max Records|Catherine Keener|Lauren Ambrose|James Gandolfini|Catherine O'Hara,Spike Jonze,There's one in all of us.,101,Family|Fantasy,2009-10-16,2009
1493,85000000,219103655,134103655,It's Complicated,Meryl Streep|Alec Baldwin|Steve Martin|Lake Bell|Mary Kay Place,Nancy Meyers,First comes marriage. Then comes divorce. And then...,121,Comedy|Romance,2009-12-23,2009
1498,100000000,68688831,-31311169,Land of the Lost,Will Ferrell|Anna Friel|Danny McBride|Jorma Taccone|Matt Lauer,Brad Silberling,Right place. Wrong time.,102,Adventure|Comedy|Science Fiction,2009-06-05,2009
1499,60000000,122233971,62233971,Invictus,Morgan Freeman|Matt Damon|Tony Kgoroge|Patrick Mofokeng|Matt Stern,Clint Eastwood,His people needed a leader. He gave them a champion.,134,Drama|History,2009-12-10,2009
1500,70000000,104945765,34945765,Planet 51,Dwayne Johnson|Seann William Scott|Jessica Biel|Justin Long|Gary Oldman,Jorge Blanco|Javier Abad|Marcos MartÃ­nez,Something strange is coming to their planet...Us!,91,Science Fiction|Animation|Family|Comedy|Adventure,2009-11-19,2009
1506,60000000,62357900,2357900,Year One,Jack Black|Michael Cera|Olivia Wilde|Oliver Platt|David Cross,Harold Ramis,Meet your ancestors,97,Comedy|Adventure,2009-06-18,2009
1507,4500000,744816,-3755184,Life During Wartime,Ally Sheedy|Paul Reubens|Shirley Henderson|Allison Janney|Michael Kenneth Williams,Todd Solondz,"Friends, family, and lovers struggle to find love, forgiveness, and meaning in a war-torn world riddled with comedy and pathos.",97,Comedy|Drama,2009-10-10,2009
1508,12000000,1644755,-10355245,Ondine,Colin Farrell|Alicja Bachleda-CuruÅ›|Dervla Kirwan|Alison Barry|Marion O'Dwyer,Neil Jordan,The truth is not what you know. It's what you believe.,111,Drama|Romance,2009-09-14,2009
1510,15000000,100734718,85734718,My Bloody Valentine,Jensen Ackles|Jaime King|Kerr Smith|Betsy Rue|Edi Gathegi,Patrick Lussier,He's gonna break your heart.,101,Mystery|Horror,2009-01-16,2009
1514,35000000,92219310,57219310,Old Dogs,Robin Williams|John Travolta|Seth Green|Justin Long|Matt Dillon,Walt Becker,Life is Not Child-Proof.,88,Comedy|Family,2009-11-24,2009
1516,70000000,39041505,-30958495,Agora,Rachel Weisz|Max Minghella|Oscar Isaac|Ashraf Barhom|Michael Lonsdale,Alejandro AmenÃ¡bar,"Alexandria, Egypt. 391 A.D. The World Changed Forever.",127,Adventure|Drama|History,2009-05-17,2009
1518,8000000,10629321,2629321,The Boondock Saints II: All Saints Day,"Sean Patrick Flanery|Norman Reedus|Billy Connolly|Clifton Collins, Jr.|Julie Benz",Troy Duffy,The Saints Are Calling,118,Action|Thriller|Crime,2009-11-24,2009
1519,25000000,10589102,-14410898,The Bad Lieutenant: Port of Call - New Orleans,Nicolas Cage|Eva Mendes|Val Kilmer|Fairuza Balk|Shawn Hatosy,Werner Herzog,The only criminal he can't catch is himself.,122,Drama|Crime,2009-09-11,2009
1520,30000000,61808775,31808775,The Imaginarium of Doctor Parnassus,Christopher Plummer|Heath Ledger|Johnny Depp|Jude Law|Colin Farrell,Terry Gilliam,,123,Adventure|Fantasy|Mystery,2009-10-01,2009
1521,20000000,1017401,-18982599,Horsemen,"Dennis Quaid|Zhang Ziyi|Lou Taylor Pucci|Clifton Collins, Jr.|Barry Shabaka Henley",Jonas Ã…kerlund,Four victims. Four painful secrets.,90,Crime|Drama|Horror|Mystery|Thriller,2009-02-06,2009
1522,20000000,22942221,2942221,Armored,Columbus Short|Laurence Fishburne|Skeet Ulrich|Amaury Nolasco|Matt Dillon,NimrÃ³d Antal,Who will be the last man standing?,88,Action|Crime|Drama|Thriller,2009-12-04,2009
1527,40000000,28169671,-11830329,Cirque du Freak: The Vampire's Assistant,John C. Reilly|Josh Hutcherson|Chris Massoglia|Patrick Fugit|Salma Hayek,Paul Weitz,Meet Darren. He's sixteen going on immortal.,109,Adventure|Fantasy|Action|Thriller,2009-10-23,2009
1529,9000000,985117,-8014883,Leaves of Grass,Susan Sarandon|Richard Dreyfuss|Keri Russell|Melanie Lynskey|Edward Norton,Tim Blake Nelson,"Drugs, Murder, and Brotherly Love.",104,Comedy|Crime|Drama|Thriller,2009-09-13,2009
1530,7500000,26096852,18596852,An Education,Carey Mulligan|Olivia Williams|Peter Sarsgaard|Alfred Molina|Cara Seymour,Lone Scherfig,Innocence of the Young.,100,Drama|Romance,2009-10-29,2009
1531,75000000,61458982,-13541018,Funny People,Adam Sandler|Seth Rogen|Leslie Mann|Eric Bana|Jonah Hill,Judd Apatow,"George Simmons was prepared to die, but then a funny thing happened.",146,Comedy|Drama,2009-07-31,2009
1533,25000000,163670000,138670000,Up in the Air,George Clooney|Vera Farmiga|Anna Kendrick|Jason Bateman|Melanie Lynskey,Jason Reitman,The story of a man ready to make a connection.,109,Drama|Romance,2009-09-05,2009
1534,65000000,44091067,-20908933,Astro Boy,Nicolas Cage|Kristen Bell|Bill Nighy|Donald Sutherland|Freddie Highmore,David Bowers,Have a blast.,94,Animation|Action|Family|Science Fiction,2009-10-15,2009
1535,50000000,60161391,10161391,The International,Clive Owen|Naomi Watts|Armin Mueller-Stahl|Ulrich Thomsen|BrÃ­an F. O'Byrne,Tom Tykwer,Is your money making a killing?,118,Drama|Thriller|Crime,2009-02-03,2009
1538,14000000,875386,-13124614,Universal Soldier: Regeneration,Jean-Claude Van Damme|Dolph Lundgren|Andrei Arlovski|Mike Pyle|Corey Johnson,John Hyams,Reanimated. Rearmed. The ultimate rematch,97,Adventure|Action|Science Fiction|Thriller,2009-10-01,2009
1539,85000000,363164265,278164265,Fast & Furious,Vin Diesel|Paul Walker|Jordana Brewster|Michelle Rodriguez|John Ortiz,Justin Lin,New Model. Original Parts.,107,Action|Crime|Drama|Thriller,2009-04-02,2009
1542,20000000,17436509,-2563491,Capitalism: A Love Story,Michael Moore|Thora Birch|William Black|Elijah Cummings|Baron Hill,Michael Moore,"Ask not what your C.E.O. can do for you, but what you can do for your C.E.O.",120,Documentary,2009-09-06,2009
1546,15000000,39421467,24421467,Halloween II,Scout Taylor-Compton|Sheri Moon Zombie|Tyler Mane|Chase Wright Vanek|Brad Dourif,Rob Zombie,Family Is Forever,105,Horror,2009-08-28,2009
1550,35000000,155545279,120545279,Hannah Montana: The Movie,Miley Cyrus|Billy Ray Cyrus|Emily Osment|Jason Earles|Taylor Swift,Peter Chelsom,She has the best of both worlds...now she has to choose just one.,102,Comedy|Drama|Family|Music|Romance,2009-04-10,2009
1552,15000000,8786375,-6213625,Banlieue 13 - Ultimatum,Cyril Raffaelli|David Belle|Philippe Torreton|Daniel Duval|Elodie Yung,Patrick Alessandrin,,101,Action|Thriller|Crime,2009-02-18,2009
1554,45000000,57881056,12881056,Aliens in the Attic,Carter Jenkins|Austin Butler|Kevin Nealon|Robert Hoffman|Doris Roberts,John Schultz,The aliens vs. the Pearsons,86,Adventure|Comedy|Family|Fantasy|Science Fiction,2009-07-31,2009
1558,3400000,9444018,6044018,The Collector,Josh Stewart|Michael Reilly Burke|Andrea Roth|Juan FernÃ¡ndez|Madeline Zima,Marcus Dunstan,He always takes one,88,Horror|Thriller,2009-07-09,2009
1561,3000000,18097,-2981903,Women in Trouble,Carla Gugino|Adrianne Palicki|Connie Britton|Marley Shelton|Garcelle Beauvais,Sebastian Gutierrez,"High Hopes, High Anxiety, High Heels.",92,Comedy|Drama,2009-11-13,2009
1562,10000000,42333295,32333295,The Fourth Kind,Milla Jovovich|Will Patton|Hakeem Kae-Kazim|Corey Johnson|Enzo Cilenti,Olatunde Osunsanmi,There are four kinds of alien encounters. The fourth kind is abduction.,98,Science Fiction|Thriller,2009-11-06,2009
1564,15000000,5024782,-9975218,Solitary Man,Michael Douglas|Jesse Eisenberg|Susan Sarandon|Mary-Louise Parker|Jenna Fischer,Brian Koppelman|David Levien,Ben loves his family almost as much as he loves himself,90,Comedy|Drama|Romance,2009-09-07,2009
1568,800000,867714,67714,The Disappearance of Alice Creed,Gemma Arterton|Martin Compston|Eddie Marsan,J Blakeson,Where is Alice Creed?,100,Crime|Drama|Thriller,2009-09-12,2009
1569,78146652,60000000,-18146652,Duplicity,Clive Owen|Julia Roberts|Paul Giamatti|Tom Wilkinson|Lisa Roberts Gillan,Tony Gilroy,Outwit. Outspy. Outsmart. Outplay. Then get out.,125,Thriller,2009-03-19,2009
1577,8500000,4440055,-4059945,Bright Star,Abbie Cornish|Ben Whishaw|Paul Schneider|Kerry Fox|Edie Martin,Jane Campion,First love burns brightest.,119,Drama|Romance,2009-11-05,2009
1582,9500000,17164377,7664377,Adventureland,Jesse Eisenberg|Kristen Stewart|Martin Starr|Kristen Wiig|Bill Hader,Greg Mottola,Nothing brings people together like a crappy summer job.,107,Comedy,2009-04-03,2009
1583,8000000,10848783,2848783,Extract,Jason Bateman|Mila Kunis|Kristen Wiig|Ben Affleck|J.K. Simmons,Mike Judge,Sticking it to the man has never looked so good.,92,Comedy,2009-09-03,2009
1585,3500000,44462,-3455538,Defendor,Woody Harrelson|Kat Dennings|Elias Koteas|Sandra Oh|Clark Johnson,Peter Stebbings,An unexpected hero will rise.,101,Drama|Action|Comedy|Crime,2009-09-12,2009
1588,80000000,53825515,-26174485,Nine,Judi Dench|Daniel Day-Lewis|Marion Cotillard|PenÃ©lope Cruz|Sophia Loren,Rob Marshall,,112,Drama|Music|Romance,2009-12-03,2009
1590,6500000,1521261,-4978739,The Messenger,Ben Foster|Woody Harrelson|Jena Malone|Eamonn Walker|Samantha Morton,Oren Moverman,The Scars of War Will Last Forever,113,Drama|History,2009-11-13,2009
1593,17000000,14899417,-2100583,Away We Go,John Krasinski|Maya Rudolph|Carmen Ejogo|Catherine O'Hara|Jeff Daniels,Sam Mendes,,98,Drama|Comedy|Romance,2009-06-05,2009
1594,17000000,20455276,3455276,My Life in Ruins,Nia Vardalos|Richard Dreyfuss|Alexis Georgoulis|Alistair McGowan|Harland Williams,Donald Petrie,The most fun you can have without a passport.,95,Comedy|Romance,2009-02-06,2009
1595,30000000,95714875,65714875,My Sister's Keeper,Cameron Diaz|Alec Baldwin|Abigail Breslin|Joan Cusack|Sofia Vassilieva,Nick Cassavetes,Based on the Best Selling Novel,109,Drama,2009-06-26,2009
1599,60000000,31720158,-28279842,The Soloist,Robert Downey Jr.|Jamie Foxx|Catherine Keener|Nelsan Ellis|Michael Bunin,Joe Wright,Life has a mind of its own,109,Drama,2009-04-24,2009
1601,19000000,91379051,72379051,Friday the 13th,Derek Mears|Jared Padalecki|Danielle Panabaker|Amanda Righetti|Travis Van Winkle,Marcus Nispel,Welcome to Crystal Lake,97,Horror,2009-02-11,2009
1603,25000000,1037335,-23962665,Crossing Over,Harrison Ford|Ray Liotta|Ashley Judd|Jim Sturgess|Cliff Curtis,Wayne Kramer,Every day thousands of people illegally cross our borders... only one thing stands in their way. America.,113,Drama,2009-02-27,2009
1607,7300000,10329747,3029747,Harry Brown,Michael Caine|Emily Mortimer|Iain Glen|Lee Oakes|Liam Cunningham,Daniel Barber,Every man has a breaking point.,103,Thriller|Crime|Drama|Action,2009-11-11,2009
1608,80000000,122444772,42444772,Surrogates,Bruce Willis|Radha Mitchell|Rosamund Pike|James Cromwell|Ving Rhames,Jonathan Mostow,How do you save humanity when the only thing that's real is you?,89,Action|Science Fiction|Thriller,2009-09-24,2009
1612,50000000,12764201,-37235799,Street Fighter: The Legend of Chun-Li,Kristin Kreuk|Chris Klein|Neal McDonough|Michael Clarke Duncan|Moon Bloodgood,Andrzej Bartkowiak,Some fight for power. Some fight for us.,97,Action|Adventure|Science Fiction|Thriller,2009-02-27,2009
1613,35000000,73034460,38034460,Hotel for Dogs,Emma Roberts|Jake T. Austin|Don Cheadle|Johnny Simmons|Kyla Pratt,Thor Freudenthal,No stray gets turned away.,100,Comedy|Family,2009-01-16,2009
1618,20000000,73830340,53830340,Obsessed,BeyoncÃ© Knowles|Idris Elba|Ali Larter|Jerry O'Connell|Bonnie Perlman,Steve Shill,Sharon and Derek have all they've ever wanted... but someone else wants it more.,108,Drama|Thriller,2009-04-24,2009
1619,15000000,113221,-14886779,Tetro,Vincent Gallo|Maribel VerdÃº|Klaus Maria Brandauer|Alden Ehrenreich|Silvia PÃ©rez,Francis Ford Coppola,Every family has a secret.,127,Drama|Mystery,2009-06-11,2009
1625,15000000,16633035,1633035,Whip It,Ellen Page|Landon Pigg|Drew Barrymore|Sarah Habel|Shannon Eagen,Drew Barrymore,Be Your Own Hero,111,Drama,2009-09-13,2009
1637,45000000,7810000,-37190000,Solomon Kane,James Purefoy|Pete Postlethwaite|Alice Krige|Mackenzie Crook|Max von Sydow,Michael J. Bassett,Fight evil... With evil.,104,Adventure|Fantasy|Action|Science Fiction,2009-09-16,2009
1639,4000000,143191,-3856809,Survival of the Dead,Alan van Sprang|Kenneth Welsh|Kathleen Munroe|Devon Bostick|Richard Fitzpatrick,George A. Romero,Death isn't what it used to be.,90,Horror|Science Fiction,2009-09-09,2009
1644,150000000,341131793,191131793,X-Men Origins: Wolverine,Hugh Jackman|Liev Schreiber|Danny Huston|Lynn Collins|Ryan Reynolds,Gavin Hood,Witness the Origin.,107,Adventure|Action|Thriller|Science Fiction,2009-04-28,2009
1648,4000000,4100000,100000,S. Darko,Daveigh Chase|Elizabeth Berkley|Briana Evigan|James Lafferty|Ed Westwick,Chris Fisher,,103,Thriller|Crime|Science Fiction|Mystery,2009-04-28,2009
1653,2900000,296557,-2603443,Black Dynamite,Michael Jai White|Arsenio Hall|Tommy Davidson|Kevin Chapman|Richard Edson,Scott Sanders,He's super bad. He's outta sight. He's...,90,Action|Comedy,2009-10-16,2009
1655,6000000,6670712,670712,City Island,Andy GarcÃ­a|Julianna Margulies|Steven Strait|Dominik GarcÃ­a-Lorido|Ezra Miller,Raymond De Felitta,Truth is stranger than family,104,Drama|Comedy,2009-03-06,2009
1658,40000000,19258519,-20741481,Amelia,Hilary Swank|Richard Gere|Aaron Abrams|Ewan McGregor|Christopher Eccleston,Mira Nair,,111,Drama|Adventure|Romance,2009-10-22,2009
1666,25000000,4388563,-20611437,Beyond a Reasonable Doubt,Michael Douglas|Jesse Metcalfe|Amber Tamblyn|Joel David Moore|Orlando Jones,Peter Hyams,,105,Drama,2009-02-05,2009
1674,8000000,29010817,21010817,New in Town,RenÃ©e Zellweger|Harry Connick Jr.|J.K. Simmons|Siobhan Fallon|Mike O'Brien,Jonas Elmer,She's an executive on the move. But her career is taking her a little farther than she expected.,97,Comedy|Romance,2009-01-30,2009
1675,25000000,2336172,-22663828,Me and Orson Welles,Zac Efron|Claire Danes|Christian McKay|Imogen Poots|Zoe Kazan,Richard Linklater,If you want to discover life learn from the master,114,Comedy|Drama|Romance,2009-11-25,2009
1676,40000000,28972508,-11027492,Shorts,Jimmy Bennett|Kat Dennings|Jolie Vanier|William H. Macy|James Spader,Robert Rodriguez,Not So TALL Tales From The Director Of 'Spy Kids',89,Comedy|Family,2009-08-21,2009
1699,12500000,27206120,14706120,Sorority Row,Rumer Willis|Briana Evigan|Jamie Chung|Leah Pipes|Teri Andrzejewski,Stewart Hendler,The Sisters of Theta Pi Are Dying To Keep a Secret.,101,Horror|Mystery|Thriller,2009-09-09,2009
1722,23000000,9366227,-13633773,ChÃ©ri,Michelle Pfeiffer|Kathy Bates|Rupert Friend|Felicity Jones|Iben Hjejle,Stephen Frears,,86,Drama|Comedy|Romance,2009-02-10,2009
1724,10000000,7022728,-2977272,The Joneses,David Duchovny|Demi Moore|Amber Heard|Benjamin Hollingsworth|Lauren Hutton,Derrick Borte,"They're not just living the American dream, they're selling it.",96,Comedy|Drama,2009-09-13,2009
1728,20000000,18599102,-1400898,Fired Up!,Nicholas D'Agosto|Eric Christian Olsen|Sarah Roemer|Molly Sims|Danneel Ackles,Will Gluck,2 Guys. 300 Girls. You Do the Math.,90,Comedy|Romance,2009-02-20,2009
1733,75,134,59,Wanted,Salman Khan|Ayesha Takia|Mahesh Manjrekar|Prakash Raj|Vinod Khanna,Prabhu Deva,"Mafia wants him DEAD !, Police wants him ALIVE !!",129,Action|Comedy|Crime|Thriller,2009-09-18,2009
1734,10000000,295750,-9704250,World's Greatest Dad,Robin Williams|Alexie Gilmore|Daryl Sabara|Geoff Pierson|Henry Simmons,Bobcat Goldthwait,Lance Clayton is about to get everything he deserves.,99,Comedy|Romance,2009-08-20,2009
1736,1700000,1007962,-692038,The Girlfriend Experience,Sasha Grey|Chris Santos|Peter Zizzo|Timothy J. Cox|Timothy Davis,Steven Soderbergh,See it with someone you ****,77,Comedy|Drama,2009-01-20,2009
1756,15000000,6405245,-8594755,Post Grad,Alexis Bledel|Zach Gilford|Rodrigo Santoro|Jane Lynch|Carol Burnett,Vicky Jenson,A Pre-Life Crisis.,89,Comedy,2009-08-21,2009
1758,1000000,1296971,296971,Paper Heart,Michael Cera|Charlyne Yi|Jake Johnson|Gill Summers|Martin Starr,Nicholas Jasenovec,A story about love that's taking on a life on its own.,88,Comedy|Drama|Romance,2009-07-31,2009
1774,7000000,39462438,32462438,Crazy Heart,Jeff Bridges|Maggie Gyllenhaal|Colin Farrell|Robert Duvall|Paul Herman,Scott Cooper,"The harder the life, the sweeter the song.",112,Drama|Music|Romance,2009-12-16,2009
1780,2000000,7306,-1992694,Stolen Lives,Jon Hamm|Josh Lucas|Rhona Mitra|James Van Der Beek|Jessica Chastain,Anders Anderson,Secrets from the past don't stay buried.,97,Crime|Drama|Mystery|Thriller,2009-10-10,2009
1797,2500000,352810,-2147190,Like Dandelion Dust,Mira Sorvino|Barry Pepper|Cole Hauser|Kate Levering,Jon Gunn,Sometimes the greatest love is letting go.,100,Drama|Family,2009-02-05,2009
1800,7000000,1429299,-5570701,I Hope They Serve Beer in Hell,Matt Czuchry|Jesse Bradford|Marika Dominczyk|Traci Lords|Geoff Stults,Bob Gosse,,106,Comedy|Drama,2009-09-25,2009
1818,1500000,56000,-1444000,Beautiful,Deborra-Lee Furness|Peta Wilson|Aaron Jeffery|Asher Keddie|Erik Thomson,Dean O'Flaherty,,97,Drama|Mystery|Thriller,2009-04-27,2009
1829,58000000,85280250,27280250,Did You Hear About The Morgans?,Hugh Grant|Sarah Jessica Parker|Mary Steenburgen|Sam Elliott|Natalia Klimas,Marc Lawrence,We're not in Manhattan anymore.,103,Comedy,2009-12-17,2009
1831,5000000,38610009,33610009,The Grudge 3,Johanna Braddy|Gil McKinney|Emi Ikehata|Jadie-Rose Hobson|Beau Mirchoff,Toby Wilkins,You can't escape the curse.,90,Horror|Thriller,2009-05-12,2009
1853,250000,232732,-17268,Big Fan,Patton Oswalt|Kevin Corrigan|Michael Rapaport|Marcia Jean Kurtz|Serafina Fiore,Robert D. Siegel,,91,Comedy|Drama,2009-01-18,2009
1866,25000000,20719451,-4280549,Mao's Last Dancer,Chi Cao|Chengwu Guo|Wen Bin Huang|Joan Chen|Bruce Greenwood,Bruce Beresford,æœ€åŽçš„èˆžè€…,117,Drama|Romance,2009-10-01,2009
1871,31192,10000,-21192,Down Terrace,Robert Hill|Robin Hill|Julia Deakin|David Schaal|Tony Way,Ben Wheatley,You're only as good as the people you know.,89,Drama|Action|Comedy,2009-09-01,2009
1919,160000000,825500000,665500000,Inception,Leonardo DiCaprio|Joseph Gordon-Levitt|Ellen Page|Tom Hardy|Ken Watanabe,Christopher Nolan,Your mind is the scene of the crime.,148,Action|Thriller|Science Fiction|Mystery|Adventure,2010-07-14,2010
1920,200000000,623933331,423933331,Iron Man 2,Robert Downey Jr.|Gwyneth Paltrow|Don Cheadle|Scarlett Johansson|Mickey Rourke,Jon Favreau,"It's not the armor that makes the hero, but the man inside.",124,Adventure|Action|Science Fiction,2010-04-28,2010
1921,200000000,1025467110,825467110,Alice in Wonderland,Mia Wasikowska|Johnny Depp|Anne Hathaway|Helena Bonham Carter|Crispin Glover,Tim Burton,You're invited to a very important date.,108,Family|Fantasy|Adventure,2010-03-03,2010
1922,13000000,327803731,314803731,Black Swan,Natalie Portman|Mila Kunis|Vincent Cassel|Barbara Hershey|Winona Ryder,Darren Aronofsky,"In the era of personal branding, the scariest possibility is that someone might be better at being you than you are.",108,Drama|Mystery|Thriller,2010-12-02,2010
1923,250000000,954305868,704305868,Harry Potter and the Deathly Hallows: Part 1,Daniel Radcliffe|Emma Watson|Rupert Grint|Ralph Fiennes|Helena Bonham Carter,David Yates,One Wayâ€¦ One Fateâ€¦ One Hero.,146,Adventure|Fantasy|Family,2010-10-17,2010
1924,69000000,543513985,474513985,Despicable Me,Steve Carell|Jason Segel|Russell Brand|Julie Andrews|Will Arnett,Pierre Coffin|Chris Renaud,Superbad. Superdad.,95,Action|Animation|Family,2010-07-08,2010
1925,80000000,274470394,194470394,The Expendables,Sylvester Stallone|Jason Statham|Dolph Lundgren|Eric Roberts|Randy Couture,Sylvester Stallone,Choose Your Weapon.,103,Action|Thriller,2010-08-03,2010
1926,165000000,494878759,329878759,How to Train Your Dragon,Jay Baruchel|Gerard Butler|Craig Ferguson|America Ferrera|Jonah Hill,Dean DeBlois|Chris Sanders,One adventure will change two worlds,98,Fantasy|Adventure|Animation|Family,2010-03-05,2010
1927,80000000,294804195,214804195,Shutter Island,Leonardo DiCaprio|Mark Ruffalo|Ben Kingsley|Emily Mortimer|Michelle Williams,Martin Scorsese,Someone is missing.,138,Drama|Thriller|Mystery,2010-02-18,2010
1928,170000000,400062763,230062763,TRON: Legacy,Garrett Hedlund|Jeff Bridges|Olivia Wilde|Bruce Boxleitner|Yaya DaCosta,Joseph Kosinski,The Game Has Changed.,125,Adventure|Action|Science Fiction,2010-12-10,2010
1929,260000000,591794936,331794936,Tangled,Zachary Levi|Mandy Moore|Donna Murphy|Ron Perlman|M.C. Gainey,Nathan Greno|Byron Howard,They're taking adventure to new lengths.,100,Animation|Family,2010-11-24,2010
1930,200000000,1063171911,863171911,Toy Story 3,Tom Hanks|Tim Allen|Ned Beatty|Joan Cusack|Michael Keaton,Lee Unkrich,No toy gets left behind.,103,Animation|Family|Comedy,2010-06-16,2010
1931,110000000,293329073,183329073,Salt,Angelina Jolie|Liev Schreiber|Corey Stoll|Chiwetel Ejiofor|Daniel Olbrychski,Phillip Noyce,Who is Salt?,100,Action|Thriller|Crime|Mystery,2010-07-21,2010
1932,18000000,35692920,17692920,127 Hours,James Franco|Kate Mara|Amber Tamblyn|ClÃ©mence PoÃ©sy|Lizzy Caplan,Danny Boyle,There is no force more powerful than the will to live.,94,Adventure|Drama|Thriller,2010-11-05,2010
1933,8000000,74952305,66952305,Easy A,Emma Stone|Stanley Tucci|Amanda Bynes|Cam Gigandet|Lisa Kudrow,Will Gluck,The rumour-filled totally false account of how I ruined my flawless reputation.,92,Comedy,2010-09-10,2010
